#      Train        Test
    0.870497     0.753472 
    0.873928     0.736111 
    0.885935     0.739583 
    0.875643     0.736111 
    0.881647     0.743056 
    0.878216     0.763889 
     0.86964     0.743056 
    0.885935     0.736111 
    0.878216     0.767361 
    0.879074         0.75 
    0.876501     0.767361 
    0.874786     0.756944 
    0.882504     0.711806 
    0.882504     0.736111 
    0.878216         0.75 
    0.874786     0.763889 
    0.880789     0.756944 
    0.882504     0.743056 
    0.876501     0.715278 
    0.879931     0.756944 
    0.886792     0.756944 
     0.87307     0.777778 
    0.891938         0.75 
    0.873928     0.756944 
    0.879074     0.767361 
    0.882504     0.756944 
    0.873928     0.774306 
    0.873928         0.75 
    0.876501     0.746528 
    0.881647     0.722222 
    0.885935         0.75 
    0.882504     0.756944 
    0.876501     0.743056 
    0.881647     0.756944 
    0.880789     0.763889 
     0.88422     0.729167 
    0.885935         0.75 
    0.889365         0.75 
    0.882504     0.732639 
    0.873928     0.746528 
    0.881647     0.743056 
    0.885077     0.746528 
    0.875643     0.767361 
    0.885077     0.767361 
    0.874786     0.753472 
    0.881647     0.732639 
